Title,Link
Magic smoke,/wiki/Magic_smoke
Oh-My-God particle,/wiki/Oh-My-God_particle
Pauli effect,/wiki/Pauli_effect
Quantum suicide and immortality,/wiki/Quantum_suicide_and_immortality
Vortex tube,/wiki/Vortex_tube
Smoot,/wiki/Smoot
Chalkboard scraping,/wiki/Chalkboard_scraping
Aachenosaurus,/wiki/Aachenosaurus
Bloop,/wiki/Bloop
Continental drip,/wiki/Continental_drip
Expanding Earth,/wiki/Expanding_Earth
Flat Earth Society,/wiki/Flat_Earth_Society
Snow in Florida,/wiki/Snow_in_Florida
List of unexplained sounds,/wiki/List_of_unexplained_sounds
2006 Mumbai sweet seawater incident,/wiki/2006_Mumbai_sweet_seawater_incident
Rain of animals,/wiki/Rain_of_animals
Red rain in Kerala,/wiki/Red_rain_in_Kerala
South-up map orientation,/wiki/South-up_map_orientation
S. A. Andrée's Arctic balloon expedition of 1897,/wiki/S._A._Andr%C3%A9e%27s_Arctic_balloon_expedition_of_1897
Roy Sullivan,/wiki/Roy_Sullivan
Tinnunculite,/wiki/Tinnunculite
Waffle House Index,/wiki/Waffle_House_Index
Dihydrogen monoxide parody,/wiki/Dihydrogen_monoxide_parody
List of chemical compounds with unusual names,/wiki/List_of_chemical_compounds_with_unusual_names
Mole Day,/wiki/Mole_Day
"Thomas Midgley, Jr.","/wiki/Thomas_Midgley,_Jr."
Nanoputian,/wiki/Nanoputian
New car smell,/wiki/New_car_smell
Pykrete,/wiki/Pykrete
Red mercury,/wiki/Red_mercury
Thiotimoline,/wiki/Thiotimoline
Trimethylaminuria,/wiki/Trimethylaminuria
Unobtainium,/wiki/Unobtainium
Cosmic latte,/wiki/Cosmic_latte
Cydonia (Mars),/wiki/Cydonia_(Mars)
Elon Musk's Tesla Roadster,/wiki/Elon_Musk%27s_Tesla_Roadster
Embryo space colonization,/wiki/Embryo_space_colonization
Extraterrestrial real estate,/wiki/Extraterrestrial_real_estate
Fallen Astronaut,/wiki/Fallen_Astronaut
"Hot, dust-obscured galaxies","/wiki/Hot,_dust-obscured_galaxies"
List of hypothetical Solar System objects,/wiki/List_of_hypothetical_Solar_System_objects
Lunarcrete,/wiki/Lunarcrete
Matrioshka brain,/wiki/Matrioshka_brain
Milkdromeda,/wiki/Milkdromeda
The Moon is made of green cheese,/wiki/The_Moon_is_made_of_green_cheese
Moon landing conspiracy theories,/wiki/Moon_landing_conspiracy_theories
Moon Museum,/wiki/Moon_Museum
Nazi UFOs,/wiki/Nazi_UFOs
Sex in space,/wiki/Sex_in_space
Space advertising,/wiki/Space_advertising
Spaghettification,/wiki/Spaghettification
Solway Firth Spaceman,/wiki/Solway_Firth_Spaceman
Sylacauga (meteorite),/wiki/Sylacauga_(meteorite)
Timekeeping on Mars,/wiki/Timekeeping_on_Mars
Voyager Golden Record,/wiki/Voyager_Golden_Record
Writing in space,/wiki/Writing_in_space
Accessory breast,/wiki/Accessory_breast
Alien hand syndrome,/wiki/Alien_hand_syndrome
Black hairy tongue,/wiki/Black_hairy_tongue
Bristol stool scale,/wiki/Bristol_stool_scale
ChIA-PET,/wiki/ChIA-PET
Dimples of Venus,/wiki/Dimples_of_Venus
Dr. Young's Ideal Rectal Dilators,/wiki/Dr._Young%27s_Ideal_Rectal_Dilators
Eigengrau,/wiki/Eigengrau
Fart lighting,/wiki/Fart_lighting
Five-second rule,/wiki/Five-second_rule
Gynecomastia,/wiki/Gynecomastia
Hair-grooming syncope,/wiki/Hair-grooming_syncope
Human–animal breastfeeding,/wiki/Human%E2%80%93animal_breastfeeding
Hypertrichosis,/wiki/Hypertrichosis
Hypoalgesic effect of swearing,/wiki/Hypoalgesic_effect_of_swearing
Jenkem,/wiki/Jenkem
Licorice poisoning,/wiki/Licorice_poisoning
Maggot therapy,/wiki/Maggot_therapy
Male lactation,/wiki/Male_lactation
Maple syrup urine disease,/wiki/Maple_syrup_urine_disease
Medical students' disease,/wiki/Medical_students%27_disease
Mellified Man,/wiki/Mellified_Man
Möbius syndrome,/wiki/M%C3%B6bius_syndrome
Mucophagy,/wiki/Mucophagy
Nacirema,/wiki/Nacirema
Navel lint,/wiki/Navel_lint
Nasal sebum,/wiki/Nasal_sebum
Osteo-odonto-keratoprosthesis,/wiki/Osteo-odonto-keratoprosthesis
Paleofeces,/wiki/Paleofeces
Photic sneeze reflex,/wiki/Photic_sneeze_reflex
Rapunzel syndrome,/wiki/Rapunzel_syndrome
Retained surgical instruments,/wiki/Retained_surgical_instruments
Schmidt sting pain index,/wiki/Schmidt_sting_pain_index
Supernumerary nipple,/wiki/Supernumerary_nipple
Thumb twiddling,/wiki/Thumb_twiddling
Trepanning,/wiki/Trepanning
Uncombable hair syndrome,/wiki/Uncombable_hair_syndrome
Autofellatio,/wiki/Autofellatio
Bathroom sex,/wiki/Bathroom_sex
Bread dildo,/wiki/Bread_dildo
Cello scrotum,/wiki/Cello_scrotum
Coregasm,/wiki/Coregasm
Donkey punch,/wiki/Donkey_punch
Female hysteria,/wiki/Female_hysteria
Gerbilling,/wiki/Gerbilling
Hamster zona-free ovum test,/wiki/Hamster_zona-free_ovum_test
Human penis size,/wiki/Human_penis_size
Koro (medicine),/wiki/Koro_(medicine)
Lithopedion,/wiki/Lithopedion
Male pregnancy,/wiki/Male_pregnancy
National Masturbation Day,/wiki/National_Masturbation_Day
Parasitic twin,/wiki/Parasitic_twin
Penis panic,/wiki/Penis_panic
Persistent genital arousal disorder,/wiki/Persistent_genital_arousal_disorder
Puppy pregnancy syndrome,/wiki/Puppy_pregnancy_syndrome
Self-inflicted caesarean section,/wiki/Self-inflicted_caesarean_section
Sleep sex,/wiki/Sleep_sex
Jeanne Calment,/wiki/Jeanne_Calment
Abigail and Brittany Hensel,/wiki/Abigail_and_Brittany_Hensel
Stubbins Ffirth,/wiki/Stubbins_Ffirth
Phineas Gage,/wiki/Phineas_Gage
Hans Langseth,/wiki/Hans_Langseth
Robert Liston,/wiki/Robert_Liston
Lina Medina,/wiki/Lina_Medina
Chandre Oram,/wiki/Chandre_Oram
Adam Rainer,/wiki/Adam_Rainer
Alexis St. Martin,/wiki/Alexis_St._Martin
Tarrare,/wiki/Tarrare
Mary Toft,/wiki/Mary_Toft
Barry Marshall,/wiki/Barry_Marshall
Anton-Babinski syndrome,/wiki/Anton-Babinski_syndrome
Bananadine,/wiki/Bananadine
Capgras delusion,/wiki/Capgras_delusion
Charles Bonnet syndrome,/wiki/Charles_Bonnet_syndrome
Cotard delusion,/wiki/Cotard_delusion
Dancing mania,/wiki/Dancing_mania
Electromagnetic hypersensitivity,/wiki/Electromagnetic_hypersensitivity
Encopresis,/wiki/Encopresis
Exploding head syndrome,/wiki/Exploding_head_syndrome
False memory,/wiki/False_memory
Foreign accent syndrome,/wiki/Foreign_accent_syndrome
Fregoli delusion,/wiki/Fregoli_delusion
Geophagia,/wiki/Geophagia
Homicidal sleepwalking,/wiki/Homicidal_sleepwalking
Jumping Frenchmen of Maine,/wiki/Jumping_Frenchmen_of_Maine
Klüver–Bucy syndrome,/wiki/Kl%C3%BCver%E2%80%93Bucy_syndrome
Mariko Aoki phenomenon,/wiki/Mariko_Aoki_phenomenon
Project MKULTRA,/wiki/Project_MKULTRA
Paris Syndrome,/wiki/Paris_Syndrome
Rosenhan experiment,/wiki/Rosenhan_experiment
Stendhal syndrome,/wiki/Stendhal_syndrome
Tanganyika laughter epidemic,/wiki/Tanganyika_laughter_epidemic
Target fixation,/wiki/Target_fixation
Tip of the tongue,/wiki/Tip_of_the_tongue
The Truman Show delusion,/wiki/The_Truman_Show_delusion
Urophagia,/wiki/Urophagia
Adactylidium,/wiki/Adactylidium
Animals in space,/wiki/Animals_in_space
Animal attacks,/wiki/Animal_attacks
Apophallation,/wiki/Apophallation
Bobbit worm,/wiki/Bobbit_worm
Candiru,/wiki/Candiru
Conservation-induced extinction,/wiki/Conservation-induced_extinction
Spirobranchus giganteus,/wiki/Spirobranchus_giganteus
Depopulation of cockroaches in the ex-USSR countries,/wiki/Depopulation_of_cockroaches_in_the_ex-USSR_countries
Epomis,/wiki/Epomis
Exploding toad,/wiki/Exploding_toad
Hallucinogenic fish,/wiki/Hallucinogenic_fish
List of animals displaying homosexual behavior,/wiki/List_of_animals_displaying_homosexual_behavior
London Underground mosquito,/wiki/London_Underground_mosquito
Love dart,/wiki/Love_dart
Uguisu no fun,/wiki/Uguisu_no_fun
Orbiting Frog Otolith,/wiki/Orbiting_Frog_Otolith
Paracerceis sculpta,/wiki/Paracerceis_sculpta
Pasilalinic-sympathetic compass,/wiki/Pasilalinic-sympathetic_compass
Penis fencing,/wiki/Penis_fencing
Prostitution among animals,/wiki/Prostitution_among_animals
Stephens Island wren,/wiki/Stephens_Island_wren
